1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,2
88,2
89,2
90,2
91,1
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,3
106,3
107,3
108,3
109,3
110,3
111,4
112,4
113,3
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,5
123,5
124,4
125,5
126,6
127,6
128,5
129,6
130,5
131,6
132,6
133,6
134,6
135,7
136,7
137,6
138,7
139,7
140,7
141,7
142,7
143,8
144,8
145,9
146,8
147,8
148,9
149,9
150,9
151,9
152,10
153,9
154,10
155,9
156,10
157,10
158,11
159,10
160,11
161,11
162,13
163,12
164,13
165,11
166,12
167,12
168,12
169,12
170,14
171,13
172,13
173,13
174,15
175,15
176,15
177,15
178,15
179,16
180,16
181,16
182,16
183,16
184,16
185,18
186,17
187,18
188,17
189,18
190,19
191,19
192,20
193,19
194,20
195,19
196,20
197,20
198,20
199,21
200,22
201,22
202,21
203,22
204,23
205,22
206,24
207,23
208,25
209,24
210,26
211,25
212,25
213,25
214,27
215,27
216,28
217,27
218,28
219,30
220,29
221,28
222,29
223,30
224,31
225,31
226,32
227,31
228,31
229,33
230,33
231,33
232,34
233,34
234,34
235,35
236,35
237,38
238,35
239,36
240,37
241,37
242,40
243,37
244,39
245,39
246,39
247,41
248,41
249,41
250,42
251,44
252,43
253,44
254,45
255,45
256,46
257,47
258,48
259,48
260,47
261,48
262,51
263,49
264,49
265,51
266,50
267,53
268,51
269,52
270,54
271,54
272,56
273,55
274,55
275,56
276,58
277,58
278,57
279,59
280,58
281,61
